threshold,missed_frauds,false_alarms,fraud_loss_eur,review_cost_eur,total_cost_eur,is_cost_optimal,is_tuned_threshold
0.955,26,2,4053.2099999999996,6.0,4059.2099999999996,False,False
0.96,26,2,4053.2099999999996,6.0,4059.2099999999996,False,False
0.965,26,2,4053.2099999999996,6.0,4059.2099999999996,False,False
0.97,26,2,4053.2099999999996,6.0,4059.2099999999996,False,False
0.975,26,2,4053.2099999999996,6.0,4059.2099999999996,False,False
0.98,26,2,4053.2099999999996,6.0,4059.2099999999996,False,False
0.985,26,2,4053.2099999999996,6.0,4059.2099999999996,False,False
0.99,26,2,4053.2099999999996,6.0,4059.2099999999996,False,False
0.995,26,2,4053.2099999999996,6.0,4059.2099999999996,False,False
1.0,95,0,14766.310000000001,0.0,14766.310000000001,False,False
